__quarterly__,GDPC1,,__monthly__,CPILEGSL,TB3MS,GS10,,__eof__
,Real Gross Domestic Product,,,Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average,"3-Month Treasury Bill Secondary Market Rate, Discount Basis","Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",,__eof__
1947Q1,2034.45,,1934M01,NaN,0.72,NaN,,__eof__
1947Q2,2029.024,,1934M02,NaN,0.62,NaN,,__eof__
1947Q3,2024.834,,1934M03,NaN,0.24,NaN,,__eof__
1947Q4,2056.508,,1934M04,NaN,0.15,NaN,,__eof__
1948Q1,2087.442,,1934M05,NaN,0.16,NaN,,__eof__
1948Q2,2121.899,,1934M06,NaN,0.15,NaN,,__eof__
1948Q3,2134.056,,1934M07,NaN,0.15,NaN,,__eof__
1948Q4,2136.44,,1934M08,NaN,0.19,NaN,,__eof__
1949Q1,2107.001,,1934M09,NaN,0.21,NaN,,__eof__
1949Q2,2099.814,,1934M10,NaN,0.27,NaN,,__eof__
1949Q3,2121.493,,1934M11,NaN,0.25,NaN,,__eof__
1949Q4,2103.688,,1934M12,NaN,0.23,NaN,,__eof__
1950Q1,2186.365,,1935M01,NaN,0.2,NaN,,__eof__
1950Q2,2253.045,,1935M02,NaN,0.19,NaN,,__eof__
1950Q3,2340.112,,1935M03,NaN,0.15,NaN,,__eof__
1950Q4,2384.92,,1935M04,NaN,0.15,NaN,,__eof__
1951Q1,2417.311,,1935M05,NaN,0.15,NaN,,__eof__
1951Q2,2459.196,,1935M06,NaN,0.15,NaN,,__eof__
1951Q3,2509.88,,1935M07,NaN,0.15,NaN,,__eof__
1951Q4,2515.408,,1935M08,NaN,0.16,NaN,,__eof__
1952Q1,2542.286,,1935M09,NaN,0.2,NaN,,__eof__
1952Q2,2547.762,,1935M10,NaN,0.2,NaN,,__eof__
1952Q3,2566.153,,1935M11,NaN,0.16,NaN,,__eof__
1952Q4,2650.431,,1935M12,NaN,0.15,NaN,,__eof__
1953Q1,2699.699,,1936M01,NaN,0.2,NaN,,__eof__
1953Q2,2720.566,,1936M02,NaN,0.2,NaN,,__eof__
1953Q3,2705.258,,1936M03,NaN,0.2,NaN,,__eof__
1953Q4,2664.302,,1936M04,NaN,0.2,NaN,,__eof__
1954Q1,2651.566,,1936M05,NaN,0.2,NaN,,__eof__
1954Q2,2654.456,,1936M06,NaN,0.2,NaN,,__eof__
1954Q3,2684.434,,1936M07,NaN,0.15,NaN,,__eof__
1954Q4,2736.96,,1936M08,NaN,0.2,NaN,,__eof__
1955Q1,2815.134,,1936M09,NaN,0.16,NaN,,__eof__
1955Q2,2860.942,,1936M10,NaN,0.13,NaN,,__eof__
1955Q3,2899.578,,1936M11,NaN,0.11,NaN,,__eof__
1955Q4,2916.985,,1936M12,NaN,0.12,NaN,,__eof__
1956Q1,2905.656,,1937M01,NaN,0.17,NaN,,__eof__
1956Q2,2929.666,,1937M02,NaN,0.15,NaN,,__eof__
1956Q3,2927.034,,1937M03,NaN,0.38,NaN,,__eof__
1956Q4,2975.209,,1937M04,NaN,0.56,NaN,,__eof__
1957Q1,2994.259,,1937M05,NaN,0.41,NaN,,__eof__
1957Q2,2987.699,,1937M06,NaN,0.36,NaN,,__eof__
1957Q3,3016.979,,1937M07,NaN,0.28,NaN,,__eof__
1957Q4,2985.775,,1937M08,NaN,0.29,NaN,,__eof__
1958Q1,2908.281,,1937M09,NaN,0.31,NaN,,__eof__
1958Q2,2927.395,,1937M10,NaN,0.2,NaN,,__eof__
1958Q3,2995.112,,1937M11,NaN,0.09,NaN,,__eof__
1958Q4,3065.141,,1937M12,NaN,0.11,NaN,,__eof__
1959Q1,3123.978,,1938M01,NaN,0.1,NaN,,__eof__
1959Q2,3194.429,,1938M02,NaN,0.08,NaN,,__eof__
1959Q3,3196.683,,1938M03,NaN,0.08,NaN,,__eof__
1959Q4,3205.79,,1938M04,NaN,0.09,NaN,,__eof__
1960Q1,3277.847,,1938M05,NaN,0.05,NaN,,__eof__
1960Q2,3260.177,,1938M06,NaN,0.05,NaN,,__eof__
1960Q3,3276.133,,1938M07,NaN,0.07,NaN,,__eof__
1960Q4,3234.087,,1938M08,NaN,0.06,NaN,,__eof__
1961Q1,3255.914,,1938M09,NaN,0.08,NaN,,__eof__
1961Q2,3311.181,,1938M10,NaN,0.05,NaN,,__eof__
1961Q3,3374.742,,1938M11,NaN,0.04,NaN,,__eof__
1961Q4,3440.924,,1938M12,NaN,0.03,NaN,,__eof__
1962Q1,3502.298,,1939M01,NaN,0.03,NaN,,__eof__
1962Q2,3533.947,,1939M02,NaN,0.03,NaN,,__eof__
1962Q3,3577.362,,1939M03,NaN,0.03,NaN,,__eof__
1962Q4,3589.128,,1939M04,NaN,0.03,NaN,,__eof__
1963Q1,3628.306,,1939M05,NaN,0.03,NaN,,__eof__
