"Variables ->","obs_l_gdp","obs_dl_cpi","obs_rs","obs_dl_cpi_targ","obs_rrs_ex"
"Comments ->","Real Gross Domestic Product","Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average","3-Month Treasury Bill Secondary Market Rate","",""
"Class[Size] ->","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]","Series[353-by-1]"
"1934Q1",NaN,NaN,5.26666667e-01,NaN,NaN
"1934Q2",NaN,NaN,1.53333333e-01,NaN,NaN
"1934Q3",NaN,NaN,1.83333333e-01,NaN,NaN
"1934Q4",NaN,NaN,2.50000000e-01,NaN,NaN
"1935Q1",NaN,NaN,1.80000000e-01,NaN,NaN
"1935Q2",NaN,NaN,1.50000000e-01,NaN,NaN
"1935Q3",NaN,NaN,1.70000000e-01,NaN,NaN
"1935Q4",NaN,NaN,1.70000000e-01,NaN,NaN
"1936Q1",NaN,NaN,2.00000000e-01,NaN,NaN
"1936Q2",NaN,NaN,2.00000000e-01,NaN,NaN
"1936Q3",NaN,NaN,1.70000000e-01,NaN,NaN
"1936Q4",NaN,NaN,1.20000000e-01,NaN,NaN
"1937Q1",NaN,NaN,2.33333333e-01,NaN,NaN
"1937Q2",NaN,NaN,4.43333333e-01,NaN,NaN
"1937Q3",NaN,NaN,2.93333333e-01,NaN,NaN
"1937Q4",NaN,NaN,1.33333333e-01,NaN,NaN
"1938Q1",NaN,NaN,8.66666667e-02,NaN,NaN
"1938Q2",NaN,NaN,6.33333333e-02,NaN,NaN
"1938Q3",NaN,NaN,7.00000000e-02,NaN,NaN
"1938Q4",NaN,NaN,4.00000000e-02,NaN,NaN
"1939Q1",NaN,NaN,3.00000000e-02,NaN,NaN
"1939Q2",NaN,NaN,3.00000000e-02,NaN,NaN
"1939Q3",NaN,NaN,7.66666667e-02,NaN,NaN
"1939Q4",NaN,NaN,4.66666667e-02,NaN,NaN
"1940Q1",NaN,NaN,1.66666667e-02,NaN,NaN
"1940Q2",NaN,NaN,6.00000000e-02,NaN,NaN
"1940Q3",NaN,NaN,4.66666667e-02,NaN,NaN
"1940Q4",NaN,NaN,2.00000000e-02,NaN,NaN
"1941Q1",NaN,NaN,5.66666667e-02,NaN,NaN
"1941Q2",NaN,NaN,1.10000000e-01,NaN,NaN
"1941Q3",NaN,NaN,1.16666667e-01,NaN,NaN
"1941Q4",NaN,NaN,2.33333333e-01,NaN,NaN
"1942Q1",NaN,NaN,2.56666667e-01,NaN,NaN
"1942Q2",NaN,NaN,3.53333333e-01,NaN,NaN
"1942Q3",NaN,NaN,3.80000000e-01,NaN,NaN
"1942Q4",NaN,NaN,3.80000000e-01,NaN,NaN
"1943Q1",NaN,NaN,3.80000000e-01,NaN,NaN
